NBI #,Route,Place,County,FeatureIntersected,FacilityCarried,Location,Built,Reconstructed,Length(m),Suff.Rat.,MaterialDesign,DesignConstruction,Status,FunctionalClass,View
      53 0089,,Los Angeles,Los Angeles,'ROUTE 1,'CULVER BLVD,'07-LA-001-30.47-LA,1933,0,45,78.7,Steel,Slab,Functionally Obsolete,"Principal Arterial - Other, Urban",54447
      53 0094,,Claremont,Los Angeles,'LIVE OAK CANYON WASH,'WILLIAMS AVE,'07-LA-000--CLA,1914,1991,10,96.2,Concrete,Slab,,"Principal Arterial - Other, Urban",54450
      53 0098,101,Los Angeles,Los Angeles,'LANKERSHIM BLVD,'U.S. ROUTE 101,'07-LA-101-10.34-LA,1948,0,23,80,Concrete,Slab,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",54451
      53 0102K,101,Los Angeles,Los Angeles,'N&S110-S101 CONNECTOR R,'S101-TEMPLE ST OF,'07-LA-101-1.40-LA,1949,0,38,73.7,Concrete continuous,Slab,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",54453
      53 0104M,10,West Covina,Los Angeles,'CHARTER OAK WASH,'INTERSTATE 10,'07-LA-010-37.61-WCOV,1934,1975,9,85,Concrete,Slab,,"Principal Arterial - Interstate, Urban",54455
      53 0118,1,Los Angeles,Los Angeles,'BALLONA CREEK,'STATE ROUTE 1,'07-LA-001-30.36-LA,1937,0,102,92.3,Steel continuous,Slab,,"Principal Arterial - Other, Urban",54466
      53 0130,,Los Angeles,Los Angeles,'W10-S5&101 CONNECTOR,'STATE STREET,'07-LA-010-18.52-LA,1934,0,27,71.7,Concrete,Slab,Functionally Obsolete,"Minor Arterial, Urban",54470
      53 0138,1,Los Angeles,Los Angeles,'SANTA MONICA STORM DRAI,'ST RTE 1 (PCH),'07-LA-001-37.01-LA,1940,1951,13,70.3,Concrete,Slab,Functionally Obsolete,"Principal Arterial - Other, Urban",54472
      53 0302L,22,Long Beach,Los Angeles,'SAN GABRIEL RIVER,'STATE ROUTE 22,'07-LA-022-1.42-LBCH,1959,2000,102,92.8,Concrete continuous,Slab,,"Principal Arterial - Other, Urban",54503
      53 0302R,22,Long Beach,Los Angeles,'SAN GABRIEL RIVER,'STATE ROUTE 22,'07-LA-022-1.42-LBCH,1941,2000,102,71.8,Concrete continuous,Slab,Functionally Obsolete,"Principal Arterial - Other, Urban",54504
      53 0355,1,Los Angeles,Los Angeles,'PIPE LINE UC,'STATE ROUTE 1,'07-LA-001-8.72-LA,1934,1948,17,88.1,Concrete continuous,Slab,Functionally Obsolete,"Principal Arterial - Other, Urban",54515
      53 0356,1,Los Angeles,Los Angeles,'TEXACO INC SERVICE ROAD,'STATE ROUTE 1,'07-LA-001-8.78-LA,1934,0,10,92.4,Concrete,Slab,,"Principal Arterial - Other, Urban",54516
      53 0365,1,Malibu,Los Angeles,'PENA CANYON,'STATE ROUTE 1,'07-LA-001-41.81-MAL,1940,0,7,82,Concrete,Slab,,"Principal Arterial - Other, Urban",54522
      53 0428,,Los Angeles,Los Angeles,'STATE ROUTE 110,'AVENUE 52,'07-LA-110-28.05-LA,1939,0,35,88.2,Concrete continuous,Slab,Functionally Obsolete,"Minor Arterial, Urban",54534
      53 0429,,Los Angeles,Los Angeles,'STATE ROUTE 110,'VIA MARISOL,'07-LA-110-28.38-LA,1939,0,38,90.8,Concrete continuous,Slab,Functionally Obsolete,"Principal Arterial - Other, Urban",54535
      53 0432,110,South Pasadena,Los Angeles,'EQUESTRIAN ACCESS,'STATE ROUTE 110,'07-LA-110-30.27-SPAS,1938,0,6,90.9,Concrete,Slab,,"Principal Arterial - Other Freeways, Urban",54537
      53 0434,,South Pasadena,Los Angeles,'STATE ROUTE 110,'GRAND AVENUE,'07-LA-110-30.43-SPAS,1938,0,27,85.9,Concrete continuous,Slab,Functionally Obsolete,"Collector, Urban",54539
      53 0435,,South Pasadena,Los Angeles,'STATE ROUTE 110,'ORANGE GROVE AVE,'07-LA-110-30.59-SPAS,1939,0,27,85.4,Concrete continuous,Slab,Functionally Obsolete,"Minor Arterial, Urban",54540
      53 0436,,South Pasadena,Los Angeles,'STATE ROUTE 110,'PROSPECT AVE,'07-LA-110-30.70-SPAS,1939,0,26,86.1,Concrete continuous,Slab,Functionally Obsolete,"Local, Urban",54541
      53 0437,,South Pasadena,Los Angeles,'STATE ROUTE 110,'MERIDIAN AVNUE,'07-LA-110-30.78-SPAS,1940,0,26,92.8,Concrete continuous,Slab,Functionally Obsolete,"Collector, Urban",54542
      53 0438,,South Pasadena,Los Angeles,'STATE ROUTE 110,'FREMONT AVENUE,'07-LA-110-31.01-SPAS,1940,0,26,79.1,Concrete continuous,Slab,Functionally Obsolete,"Collector, Urban",54543
      53 0440,,South Pasadena,Los Angeles,'STATE ROUTE 110,'FAIR OAKS AVENUE,'07-LA-110-31.17-SPAS,1940,0,27,69.7,Concrete continuous,Slab,Functionally Obsolete,"Principal Arterial - Other, Urban",54544
      53 0445,,Los Angeles,Los Angeles,'STATE ROUTE 110,'MARMION WAY,'07-LA-110-29.28-LA,1940,0,77,70.8,Concrete continuous,Slab,Functionally Obsolete,"Minor Arterial, Urban",54546
      53 0466,L426,Los Angeles,Los Angeles,'ROUTE 101,'BARHAM BLVD,'07-LA-101-9.22-LA,1940,0,51,69.5,Concrete continuous,Slab,Functionally Obsolete,"Collector, Urban",54549
      53 0504L,110,Los Angeles,Los Angeles,'AMADOR STREET,'STATE ROUTE 110 S,'07-LA-110-25.04L-LA,1942,2001,13,62,Concrete continuous,Slab,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",54553
      53 0533L,110,Los Angeles,Los Angeles,'N110-FIGUEROA ST OFF-RM,'STATE ROUTE 110 S,'07-LA-110-25.78-LA,1940,0,14,69.1,Concrete,Slab,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",54557
      53 0539C,110,Los Angeles,Los Angeles,'STATE ROUTE 110 NB,'S110-HILL ST OFF,'07-LA-110-24.55R-LA,1942,0,58,70.4,Steel continuous,Slab,Structurally Deficient,"Principal Arterial - Other Freeways, Urban",54559
      53 0542L,,Los Angeles,Los Angeles,'STATE ROUTE 110 SB,'PARK ROW DR,'07-LA-110-25.20L-LA,1942,0,58,64.4,Concrete,Slab,Functionally Obsolete,"Collector, Urban",54563
      53 0556F,101,Los Angeles,Los Angeles,'ROUTE 101 NBND,'S101-E10 CONNECTO,'07-LA-101-S1.32-LA,1944,0,15,82.2,Concrete,Slab,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",54566
      53 0571L,10,Rosemead,Los Angeles,'RUBIO WASH,'INTERSTATE 10 WB,'07-LA-010-26.73-RSMD,1953,1972,26,85.7,Steel,Slab,,"Principal Arterial - Interstate, Urban",54571
      53 0571R,10,Rosemead,Los Angeles,'RUBIO WASH,'INTERSTATE 10 EB,'07-LA-010-26.73-RSMD,1953,1972,28,85,Steel,Slab,,"Principal Arterial - Interstate, Urban",54572
      53 0577,5,Los Angeles,Los Angeles,'E2-N5 & W2-S5 CONN RAMP,'INTERSTATE RTE 5,'07-LA-005-22.51-LA,1961,0,64,79,Concrete,Slab,,"Principal Arterial - Interstate, Urban",54573
